cell_line,row,column,well,seeding_density
DAOY,C,3,C03,1000
DAOY,D,3,D03,1000
IMR32,E,3,E03,1000
IMR32,F,3,F03,1000
PA1,G,3,G03,1000
PA1,H,3,H03,1000
SK-N-MC,I,3,I03,1000
SK-N-MC,J,3,J03,1000
CHP212,K,3,K03,1000
CHP212,L,3,L03,1000
SH-SY5Y,M,3,M03,1000
SH-SY5Y,N,3,N03,1000
DAOY,C,4,C04,1000
DAOY,D,4,D04,1000
IMR32,E,4,E04,1000
IMR32,F,4,F04,1000
PA1,G,4,G04,1000
PA1,H,4,H04,1000
SK-N-MC,I,4,I04,1000
SK-N-MC,J,4,J04,1000
CHP212,K,4,K04,1000
CHP212,L,4,L04,1000
SH-SY5Y,M,4,M04,1000
SH-SY5Y,N,4,N04,1000
DAOY,C,5,C05,2000
DAOY,D,5,D05,2000
IMR32,E,5,E05,2000
IMR32,F,5,F05,2000
PA1,G,5,G05,2000
PA1,H,5,H05,2000
SK-N-MC,I,5,I05,2000
SK-N-MC,J,5,J05,2000
CHP212,K,5,K05,2000
CHP212,L,5,L05,2000
SH-SY5Y,M,5,M05,2000
SH-SY5Y,N,5,N05,2000
DAOY,C,6,C06,2000
DAOY,D,6,D06,2000
IMR32,E,6,E06,2000
IMR32,F,6,F06,2000
PA1,G,6,G06,2000
PA1,H,6,H06,2000
SK-N-MC,I,6,I06,2000
SK-N-MC,J,6,J06,2000
CHP212,K,6,K06,2000
CHP212,L,6,L06,2000
SH-SY5Y,M,6,M06,2000
SH-SY5Y,N,6,N06,2000
DAOY,C,7,C07,4000
DAOY,D,7,D07,4000
IMR32,E,7,E07,4000
IMR32,F,7,F07,4000
PA1,G,7,G07,4000
PA1,H,7,H07,4000
SK-N-MC,I,7,I07,4000
SK-N-MC,J,7,J07,4000
CHP212,K,7,K07,4000
CHP212,L,7,L07,4000
SH-SY5Y,M,7,M07,4000
SH-SY5Y,N,7,N07,4000
DAOY,C,8,C08,4000
DAOY,D,8,D08,4000
IMR32,E,8,E08,4000
IMR32,F,8,F08,4000
PA1,G,8,G08,4000
PA1,H,8,H08,4000
SK-N-MC,I,8,I08,4000
SK-N-MC,J,8,J08,4000
CHP212,K,8,K08,4000
CHP212,L,8,L08,4000
SH-SY5Y,M,8,M08,4000
SH-SY5Y,N,8,N08,4000
DAOY,C,9,C09,8000
DAOY,D,9,D09,8000
IMR32,E,9,E09,8000
IMR32,F,9,F09,8000
PA1,G,9,G09,8000
PA1,H,9,H09,8000
SK-N-MC,I,9,I09,8000
SK-N-MC,J,9,J09,8000
CHP212,K,9,K09,8000
CHP212,L,9,L09,8000
SH-SY5Y,M,9,M09,8000
SH-SY5Y,N,9,N09,8000
DAOY,C,10,C10,8000
DAOY,D,10,D10,8000
IMR32,E,10,E10,8000
IMR32,F,10,F10,8000
PA1,G,10,G10,8000
PA1,H,10,H10,8000
SK-N-MC,I,10,I10,8000
SK-N-MC,J,10,J10,8000
CHP212,K,10,K10,8000
CHP212,L,10,L10,8000
SH-SY5Y,M,10,M10,8000
SH-SY5Y,N,10,N10,8000
DAOY,C,11,C11,12000
DAOY,D,11,D11,12000
IMR32,E,11,E11,12000
IMR32,F,11,F11,12000
PA1,G,11,G11,12000
PA1,H,11,H11,12000
SK-N-MC,I,11,I11,12000
SK-N-MC,J,11,J11,12000
CHP212,K,11,K11,12000
CHP212,L,11,L11,12000
SH-SY5Y,M,11,M11,12000
SH-SY5Y,N,11,N11,12000
DAOY,C,12,C12,12000
DAOY,D,12,D12,12000
IMR32,E,12,E12,12000
IMR32,F,12,F12,12000
PA1,G,12,G12,12000
PA1,H,12,H12,12000
SK-N-MC,I,12,I12,12000
SK-N-MC,J,12,J12,12000
CHP212,K,12,K12,12000
CHP212,L,12,L12,12000
SH-SY5Y,M,12,M12,12000
SH-SY5Y,N,12,N12,12000
A673,C,13,C13,1000
A673,D,13,D13,1000
G292,E,13,E13,1000
G292,F,13,F13,1000
G401,G,13,G13,1000
G401,H,13,H13,1000
G402,I,13,I13,1000
G402,J,13,J13,1000
Saos-2,K,13,K13,1000
Saos-2,L,13,L13,1000
U2-OS,M,13,M13,1000
U2-OS,N,13,N13,1000
A673,C,14,C14,1000
A673,D,14,D14,1000
G292,E,14,E14,1000
G292,F,14,F14,1000
G401,G,14,G14,1000
G401,H,14,H14,1000
G402,I,14,I14,1000
G402,J,14,J14,1000
Saos-2,K,14,K14,1000
Saos-2,L,14,L14,1000
U2-OS,M,14,M14,1000
U2-OS,N,14,N14,1000
A673,C,15,C15,2000
A673,D,15,D15,2000
G292,E,15,E15,2000
G292,F,15,F15,2000
G401,G,15,G15,2000
G401,H,15,H15,2000
G402,I,15,I15,2000
G402,J,15,J15,2000
Saos-2,K,15,K15,2000
Saos-2,L,15,L15,2000
U2-OS,M,15,M15,2000
U2-OS,N,15,N15,2000
A673,C,16,C16,2000
A673,D,16,D16,2000
G292,E,16,E16,2000
G292,F,16,F16,2000
G401,G,16,G16,2000
G401,H,16,H16,2000
G402,I,16,I16,2000
G402,J,16,J16,2000
Saos-2,K,16,K16,2000
Saos-2,L,16,L16,2000
U2-OS,M,16,M16,2000
U2-OS,N,16,N16,2000
A673,C,17,C17,4000
A673,D,17,D17,4000
G292,E,17,E17,4000
G292,F,17,F17,4000
G401,G,17,G17,4000
G401,H,17,H17,4000
G402,I,17,I17,4000
G402,J,17,J17,4000
Saos-2,K,17,K17,4000
Saos-2,L,17,L17,4000
U2-OS,M,17,M17,4000
U2-OS,N,17,N17,4000
A673,C,18,C18,4000
A673,D,18,D18,4000
G292,E,18,E18,4000
G292,F,18,F18,4000
G401,G,18,G18,4000
G401,H,18,H18,4000
G402,I,18,I18,4000
G402,J,18,J18,4000
Saos-2,K,18,K18,4000
Saos-2,L,18,L18,4000
U2-OS,M,18,M18,4000
U2-OS,N,18,N18,4000
A673,C,19,C19,8000
A673,D,19,D19,8000
G292,E,19,E19,8000
G292,F,19,F19,8000
G401,G,19,G19,8000
G401,H,19,H19,8000
G402,I,19,I19,8000
G402,J,19,J19,8000
Saos-2,K,19,K19,8000
Saos-2,L,19,L19,8000
U2-OS,M,19,M19,8000
U2-OS,N,19,N19,8000
A673,C,20,C20,8000
A673,D,20,D20,8000
G292,E,20,E20,8000
G292,F,20,F20,8000
G401,G,20,G20,8000
G401,H,20,H20,8000
G402,I,20,I20,8000
G402,J,20,J20,8000
Saos-2,K,20,K20,8000
Saos-2,L,20,L20,8000
U2-OS,M,20,M20,8000
U2-OS,N,20,N20,8000
A673,C,21,C21,12000
A673,D,21,D21,12000
G292,E,21,E21,12000
G292,F,21,F21,12000
G401,G,21,G21,12000
G401,H,21,H21,12000
G402,I,21,I21,12000
G402,J,21,J21,12000
Saos-2,K,21,K21,12000
Saos-2,L,21,L21,12000
U2-OS,M,21,M21,12000
U2-OS,N,21,N21,12000
A673,C,22,C22,12000
A673,D,22,D22,12000
G292,E,22,E22,12000
G292,F,22,F22,12000
G401,G,22,G22,12000
G401,H,22,H22,12000
G402,I,22,I22,12000
G402,J,22,J22,12000
Saos-2,K,22,K22,12000
Saos-2,L,22,L22,12000
U2-OS,M,22,M22,12000
U2-OS,N,22,N22,12000